ID	CorrectAnswer
1	D
2	A,B
3	A,C
4	B,C
5	C,D
6	B,C
7	B
8	A
9	B,D
10	A
11	C
12	B
13	C
14	C,D
15	B,D
16	A,B
17	B,C
18	D
19	D
20	C
21	C
22	A,B
23	C
24	D
25	A,D
26	B,C
27	A,C
28	C
29	A
30	D
31	B
32	B
33	C
34	D
35	D
36	C
37	A
38	B,C
39	A,D
40	D
41	D
42	A,D
43	B,C
44	A,C
45	B,C
46	A
47	B,D
48	A
49	A,D
50	A,C
51	A
52	B
53	B
54	B,D
55	A
56	C
57	A
58	D
59	C
60	C
61	C,D
62	B
63	C
64	C
65	D
66	C
67	A,D
68	B,C
69	A
70	C,D
71	C,D
72	C,D
73	D
74	C
75	B
76	C
77	A
78	A,B
79	D
80	D
81	B,C
82	B
83	A,D
84	A
85	B
86	B
87	D
88	C
89	B
90	D
91	A
92	C
93	C,D
94	B,C
95	B,D
96	A
97	A,B
98	B
99	A,C
100	B
101	A,D
102	A
103	A
104	A,D
105	A
106	B,D
107	C
108	A,C
109	D
110	C
111	A
112	B
113	D
114	C,D
115	B,C
116	D
117	A
118	A,B
119	C,D
120	C
121	B,C
122	A,D
123	C
124	D
125	B,C
126	B
127	D
128	B
129	C
130	B,D
131	A,D
132	B
133	D
134	B
135	A,B
136	D
137	C
138	D
139	C,D
140	D
141	C
142	C
143	B
144	D
145	C
146	A,C
147	C
148	C
149	A,C
150	A,C
151	B,D
152	A,B
153	A
154	C,D
155	C,D
156	B
157	D
158	A,C
159	D
160	A,D
161	C
162	A
163	D
164	A,D
165	B
166	A
167	B,D
168	A
169	A
170	B
171	A
172	C,D
173	D
174	C
175	A,D
176	A,D
177	B
178	C
179	C
180	A,D
181	D
182	A
183	A
184	B
185	A,D
186	A
187	A,B
188	A
189	A
190	B,C
191	C
192	C
193	A
194	A
195	C
196	C,D
197	B
198	B
199	A
200	B,D
201	D
202	A,D
203	A,B
204	A
205	B,C
206	A
207	A
208	A
209	C,D
210	A,B
211	D
212	C,D
213	B
214	A
215	A
216	A,B
217	A,D
218	B,D
219	A,B
220	A,D
221	A,C
222	B
223	D
224	C
225	D
226	A,D
227	A
228	B
229	B
230	C
231	B
232	B
233	C
234	B
235	C,D
236	A
237	A
238	B
239	D
240	A,C
241	A,C
242	D
243	C,D
244	B
245	D
246	B
247	B
248	B
249	A
250	C
251	A
252	A
253	C
254	B
255	D
256	B,C
257	C
258	A,D
259	C,D
260	B
261	A
262	C,D
263	C
264	C
265	C
266	C
267	A,D
268	A
269	B,C
270	D
271	A,C
272	C
273	C,D
274	B,D
275	C
276	C,D
277	C
278	A
279	A,C
280	A
281	A
282	A
283	B
284	C
285	A,C
286	C
287	C
288	B
289	B
290	C
291	A
292	A,D
293	D
294	B
295	B
296	B
297	A
298	B
299	D
300	B,C
301	D
302	C
303	D
304	C
305	A,C
306	D
307	B
308	A,D
309	B
310	C,D
311	B
312	A
313	A
314	A,B
315	A,D
316	D
317	C
318	C,D
319	C
320	C
321	D
322	B,D
323	A,C
324	B
325	C,D
326	B
327	D
328	D
329	C
330	D
331	A,B
332	B
333	C
334	D
335	A
336	A,D
337	A
338	A,D
339	C,D
340	C,D
341	B
342	A
343	B,D
344	D
345	C
346	A
347	C
348	A
349	D
350	D
351	A
352	D
353	A
354	B,D
355	A,B
356	C
357	D
358	D
359	D
360	D
361	B
362	B
363	A,B
364	D
365	B,C
366	A,C
367	B,C
368	A
369	A,D
370	C
371	B
372	A
373	A,B
374	B
375	C
376	A
377	D
378	B,D
379	A,D
380	C
381	B
382	C
383	C
384	A
385	D
386	C
387	D
388	A,D
389	A
390	D
391	A,C
392	C
393	D
394	C
395	C
396	A,C
397	C
398	C
399	C
400	A
401	A,B
402	C
403	A
404	B,D
405	C
406	B
407	B
408	B,C
409	D
410	C
411	A
412	B
413	B
414	C
415	A,D
416	A,B
417	C
418	B,D
419	A,D
420	C
421	A
422	A,B
423	A
424	C
425	A,C
426	A,D
427	B
428	A
429	C
430	A,C
431	A
432	B
433	C,D
434	B
435	C
436	D
437	A,B
438	C
439	C
440	A
441	C,D
442	D
443	A
444	A,C
445	A,D
446	C
447	C
448	A
449	B
450	A,D
451	B,C
452	A
453	B,C
454	A
455	A,C
456	B
457	C,D
458	D
459	B,D
460	B
461	A,C
462	B,C
463	D
464	C
465	D
466	A,B
467	D
468	A
469	C,D
470	A
471	C
472	B
473	A
474	B
475	A
476	D
477	D
478	D
479	B,D
480	B
481	A
482	C
483	C
484	A
485	B
486	A,C
487	A,C
488	D
489	B
490	A,C
491	D
492	B,D
493	A,B
494	B
495	D
496	B
497	B,C
498	B
499	A,C
500	B,D
