ID	ChoiceA	ChoiceB	ChoiceC	ChoiceD
1	User-friendly human-resource parallelism	Re-engineered asynchronous knowledgebase	Innovative bottom-line knowledge user	Exclusive clear-thinking website
2	Virtual neutral open system	Quality-focused didactic paradigm	Multi-layered demand-driven knowledge user	Virtual zero tolerance workforce
3	Synchronized demand-driven emulation	Synchronized mobile info-mediaries	Profit-focused 3rdgeneration secured line	Multi-lateral solution-oriented hardware
4	Phased scalable Graphic Interface	De-engineered 24/7 archive	Profound web-enabled definition	Customizable bandwidth-monitored productivity
5	Polarized client-server standardization	Triple-buffered background matrix	Organized system-worthy hardware	Multi-lateral bi-directional support
6	Virtual empowering productivity	Configurable discrete emulation	Realigned context-sensitive capacity	Integrated object-oriented moratorium
7	Robust clear-thinking encryption	Multi-lateral mobile concept	Ergonomic demand-driven analyzer	Persevering high-level secured line
8	Polarized reciprocal protocol	Universal responsive flexibility	Intuitive context-sensitive data-warehouse	Pre-emptive grid-enabled application
9	Progressive attitude-oriented encryption	Mandatory optimizing capacity	Devolved bifurcated function	Assimilated optimizing software
10	Multi-tiered background artificial intelligence	Robust bottom-line process improvement	Universal stable software	Grass-roots intermediate throughput
11	Phased solution-oriented emulation	Configurable upward-trending extranet	Advanced 6thgeneration intranet	Grass-roots 6thgeneration toolset
12	Innovative actuating workforce	Quality-focused actuating policy	Future-proofed transitional website	Inverse client-server challenge
13	Balanced even-keeled instruction set	Programmable asynchronous support	Integrated clear-thinking pricing structure	Advanced encompassing circuit
14	Programmable fault-tolerant help-desk	Sharable homogeneous flexibility	Integrated foreground definition	Automated zero administration framework
15	Organic eco-centric monitoring	Multi-lateral executive alliance	Face-to-face secondary algorithm	Multi-lateral maximized initiative
16	Future-proofed full-range algorithm	Re-engineered optimizing parallelism	Upgradable homogeneous benchmark	Inverse bottom-line workforce
17	Programmable multimedia archive	Persistent even-keeled strategy	Digitized 24hour protocol	Re-contextualized intangible contingency
18	Up-sized dedicated concept	Profit-focused content-based Internet solution	User-friendly 3rdgeneration time-frame	Reactive regional system engine
19	Enhanced disintermediate strategy	Phased neutral instruction set	Programmable tertiary functionalities	Realigned regional workforce
20	Enhanced bi-directional algorithm	Business-focused modular concept	Multi-tiered secondary policy	Seamless asynchronous model
21	Customer-focused responsive synergy	Object-based stable approach	Horizontal explicit strategy	Synergized web-enabled middleware
22	Universal bandwidth-monitored firmware	Inverse real-time emulation	Horizontal eco-centric utilization	Business-focused intangible protocol
