ID	ExplanationText
1	This question tests understanding of PKI. Correct answer(s): D.
2	This question tests understanding of MAC. Correct answer(s): A, B.
3	This question tests understanding of SIEM. Correct answer(s): A, C.
4	This question tests understanding of vulnerability scanning. Correct answer(s): B, C.
5	This question tests understanding of VPN. Correct answer(s): C, D.
6	This question tests understanding of firewalls. Correct answer(s): B, C.
7	This question tests understanding of DAC. Correct answer(s): B.
8	This question tests understanding of access control models. Correct answer(s): A.
9	This question tests understanding of social engineering. Correct answer(s): B, D.
10	This question tests understanding of availability. Correct answer(s): A.
11	This question tests understanding of PKI. Correct answer(s): C.
12	This question tests understanding of MAC. Correct answer(s): B.
13	This question tests understanding of phishing. Correct answer(s): C.
14	This question tests understanding of DAC. Correct answer(s): C, D.
15	This question tests understanding of social engineering. Correct answer(s): B, D.
16	This question tests understanding of TLS. Correct answer(s): A, B.
17	This question tests understanding of VPN. Correct answer(s): B, C.
18	This question tests understanding of risk mitigation. Correct answer(s): D.
19	This question tests understanding of access control models. Correct answer(s): D.
20	This question tests understanding of encryption. Correct answer(s): C.
21	This question tests understanding of log analysis. Correct answer(s): C.
22	This question tests understanding of malware. Correct answer(s): A, B.
23	This question tests understanding of confidentiality. Correct answer(s): C.
24	This question tests understanding of SIEM. Correct answer(s): D.
25	This question tests understanding of log analysis. Correct answer(s): A, D.
26	This question tests understanding of RBAC. Correct answer(s): B, C.
27	This question tests understanding of DAC. Correct answer(s): A, C.
28	This question tests understanding of MAC. Correct answer(s): C.
29	This question tests understanding of vulnerability scanning. Correct answer(s): A.
30	This question tests understanding of firewalls. Correct answer(s): D.
31	This question tests understanding of log analysis. Correct answer(s): B.
32	This question tests understanding of availability. Correct answer(s): B.
33	This question tests understanding of RBAC. Correct answer(s): C.
34	This question tests understanding of firewalls. Correct answer(s): D.
35	This question tests understanding of penetration testing. Correct answer(s): D.
36	This question tests understanding of RBAC. Correct answer(s): C.
37	This question tests understanding of VPN. Correct answer(s): A.
38	This question tests understanding of DAC. Correct answer(s): B, C.
39	This question tests understanding of VPN. Correct answer(s): A, D.
40	This question tests understanding of risk mitigation. Correct answer(s): D.
41	This question tests understanding of risk mitigation. Correct answer(s): D.
42	This question tests understanding of confidentiality. Correct answer(s): A, D.
43	This question tests understanding of log analysis. Correct answer(s): B, C.
44	This question tests understanding of log analysis. Correct answer(s): A, C.
45	This question tests understanding of phishing. Correct answer(s): B, C.
46	This question tests understanding of availability. Correct answer(s): A.
47	This question tests understanding of risk mitigation. Correct answer(s): B, D.
48	This question tests understanding of IDS/IPS. Correct answer(s): A.
49	This question tests understanding of SIEM. Correct answer(s): A, D.
50	This question tests understanding of SIEM. Correct answer(s): A, C.
51	This question tests understanding of social engineering. Correct answer(s): A.
52	This question tests understanding of availability. Correct answer(s): B.
53	This question tests understanding of SIEM. Correct answer(s): B.
