ID	CorrectAnswer
1	A
2	A,C
3	B
6	B
8	B,C
9	A
10	A
11	B
12	B,D
13	C
15	C
16	A,C
18	A,C
19	B,C
20	C
21	C
26	B
27	A,C
28	B
29	A,C
30	B
31	B
34	C
35	A
36	B
37	B
38	C
40	C
43	C
46	B
48	B
52	B
54	B
55	C
58	B
59	C
65	C
70	B,C
74	A,C
75	B,D
76	B
77	A
78	C
79	B,C,D
80	C,D
81	A,B,D
82	A,B,D
83	C,D
84	A,C
85	B,D
86	B
87	A
88	C
89	B,C,D
90	C,D
91	A,B,D
92	A,B,D
93	C,D
94	A,C
95	B,D
96	B
97	A
98	C
99	B,C,D
100	C,D
101	A,B,D
102	A,B,D
103	C,D
104	A,C
105	B,D
106	B
107	A
108	C
109	B,C,D
110	C,D
111	A,B,D
112	A,B,D
113	C,D
114	A,C
115	B,D
116	B
117	A
118	C
119	B,C,D
120	C,D
121	A,B,D
122	A,B,D
123	C,D
124	A,C
125	B,D
126	B
127	A
128	C
129	B,C,D
130	C,D
131	A,B,D
132	A,B,D
133	C,D
134	A,C
135	B,D
136	B
137	A
138	C
139	B,C,D
140	C,D
141	A,B,D
142	A,B,D
143	C,D
144	A,C
145	B,D
146	B
147	A
148	C
149	B,C,D
150	C,D
151	A,B,D
152	A,B,D
153	C,D
154	A,C
155	B,D
156	B
157	A
158	C
159	B,C,D
160	C,D
161	A,B,D
162	A,B,D
163	C,D
164	A,C
165	B,D
166	B
167	A
168	C
169	B,C,D
170	C,D
171	A,B,D
172	A,B,D
173	C,D
174	A,B,D
175	A,B,C
176	A,B,C
177	A,B,D
178	A,B,D
179	A,B,D
180	A,B,D
181	A,B,D
182	A,B,D
183	A,C,D
184	A,B,D
185	A,B,C
186	A,B,C
187	A,B,D
188	A,B,D
189	A,B,D
190	A,B,D
191	A,B,D
192	A,B,D
193	A,C,D
194	A,B,D
195	A,B,C
196	A,B,C
197	A,B,D
198	A,B,D
199	A,B,D
200	A,B,D
201	A,B,D
202	A,B,D
203	A,C,D
204	A,B,D
205	A,B,C
206	A,B,C
207	A,B,D
208	A,B,D
209	A,B,D
210	A,B,D
211	A,B,D
212	A,B,D
213	A,C,D
214	A,B,D
215	A,B,C
216	A,B,C
217	A,B,D
218	A,B,D
219	A,B,D
220	A,B,D
221	A,B,D
222	A,B,D
223	A,C,D
224	A,B,D
225	A,B,C
226	A,B,C
227	A,B,D
228	A,B,D
229	A,B,D
230	A,B,D
231	A,B,D
232	A,B,D
233	A,C,D
234	A,B,D
235	A,B,C
236	A,B,C
237	A,B,D
238	A,B,D
239	A,B,D
240	A,B,D
241	A,B,D
242	A,B,D
243	A,C,D
244	A,B,D
245	A,B,C
246	A,B,C
247	A,B,D
248	A,B,D
249	A,B,D
250	A,B,D
251	A,B,D
252	A,B,D
253	A,C,D
254	A,B,D
255	A,B,C
256	A,B,C
257	A,B,D
258	A,B,D
259	A,B,D
260	A,B,D
261	A,B,D
262	A,B,D
263	A,C,D
264	A,B,D
265	A,B,C
266	A,B,C
267	A,B,D
268	A,B,D
269	A,B,D
270	A,B,D
271	A,B,D
272	A,B,D
273	A,C,D
274	A,B,D
277	A,B,D
280	A,B,D
283	A,B,D
286	A,B,D
289	A,B,D
292	A,B,D
295	A,B,D
298	A,B,D
301	A,B,D
305	B
306	C
308	B
309	C
310	B
312	B
313	C
315	B
316	C
317	B
319	B
320	C
322	B
323	C
324	B
326	B
327	C
329	B
330	C
331	B
333	B
334	C
336	B
337	C
338	B
340	B
341	C
343	B
344	C
345	B
347	B
348	C
350	B
351	C
352	B
354	B
355	C
357	B
358	C
359	B
361	B
362	C
364	B
365	C
366	B
368	B
369	C
371	B
372	C
373	B
374	B  
375	A  
376	B  
377	B  
378	C  
379	B  
380	A  
381	B  
382	A  
383	C  
384	A  
385	A  
386	C  
387	A  
388	B  
389	B  
390	A  
391	B  
392	A  
393	C  
394	B  
395	B  
397	B  
398	A  
401	A  
402	B  
403	D  
404	B  
406	A  
415	 A
416	 B
417	 C
418	 A
419	 B
420	 D
421	 A
422	 A
423	 B
424	 A,B,D
425	 A,B,D
426	 A,C,D
427	 A,B,D
428	 B,C
429	 A,B,C
430	 A,B,C
431	 A,B
432	 A,C
433	 A,B,C
434	 A,C,D
435	 A,B,C
436	 B
437	 A
438	 A,B,C
439	 A,B,D
440	 B,C,D
441	 A,C,D
442	 B,C
444	 B,C
445	 A
446	 A,B
447	 A,B,C
448	 A,B
449	 A,B
450	 A,D
451	 A,B
452	 B
453	 A,B,D
454	 A,B,C
486	 B  
487	 A  
491	 A  
493	 B,D  
497	 D  
506	 C,D  
514	 A  
515	 D  
522	 B  
523	 A  
539	 A  
540	 C  
542	 A  
545	 D  
547	 A  
550	 B  
551	 D  
552	 A  
553	 C  
556	 A  
557	 C  
560	 D  
562	 C  
563	 B  
564	 D  
566	 A  
567	 C  
575	 D  
585	 D  
591	 A  
592	 B  
597	 A  
604	 A  
620	 A  
625	 A  
627	 A  
629	 B  
630	 A  
631	 B  
632	 B  
633	 C  
634	 D  
635	 B  
636	 A  
637	 D  
638	 B  
639	 D  
640	 C  
641	 A  
642	 A  
643	 C  
644	 B  
645	 B  
646	 C  
647	 B  
648	 B  
649	 B  
650	 A  
651	 C  
652	 C  
654	 B  
655	 B  
657	 B  
658	 C  
659	 C  
661	 A  
662	 C  
663	 B  
664	 C  
665	 B  
666	 C  
667	 D  
668	 C  
669	 C  
670	 B  
671	 B  
672	 C  
673	 C  
674	 A,C  
675	 A,B,D  
676	 A,C  
677	 A,B  
678	 A,C,D  
679	 A,B,C  
680	 B,C  
681	 A,C,D  
683	 A,B,D  
684	 C  
685	 C  
686	 C  
687	 B  
688	 C  
689	 B  
690	 B  
691	 C  
692	 B  
693	 C  
694	 B  
695	 C  
696	 B  
697	 B  
698	 B  
699	 C  
700	 C  
701	 C  
702	 C  
703	 B  
708	 A,B,D  
711	 A,B,D  
719	 A,B,D  
720	 A,B,D  
722	 A,B,D  
727	 A,B,D  
729	 C  
730	 C  
731	 D  
732	 C  
733	 B  
734	 C  
735	 B  
736	 B  
737	 B  
738	 C  
739	 B  
740	 C  
741	 A  
742	 C  
743	 A  
744	 B  
745	 C  
746	 C  
747	 A  
748	 A  
749	 B  
750	 B  
751	 C  
752	 B  
753	 B  
754	 B  
755	 B  
756	 B  
757	 C  
758	 B  
759	 C  
760	 B  
761	 C  
762	 C  
763	 B  
764	 A  
765	 B  
766	 A  
767	 A  
768	 C  
769	 B  
770	 B  
771	 B  
772	 B  
773	 C  
774	B  
775	B  
777	C  
778	A,C,D  
