ID	ChoiceA	ChoiceB	ChoiceC	ChoiceD
1	Mention definition A	Thus definition B	To definition C	Although definition D
2	Response definition A	Order definition B	Risk definition C	Firm definition D
3	Bank definition A	Trial definition B	Child definition C	Economy definition D
4	Everything definition A	Hope definition B	Two definition C	Professor definition D
5	Technology definition A	Table definition B	Cup definition C	Region definition D
6	Skin definition A	No definition B	Continue definition C	Fear definition D
7	Instead definition A	Several definition B	Adult definition C	Money definition D
8	At definition A	Arm definition B	Sometimes definition C	Official definition D
9	Different definition A	While definition B	New definition C	City definition D
10	Religious definition A	Use definition B	Production definition C	Question definition D
11	Around definition A	Pay definition B	Character definition C	Medical definition D
12	Southern definition A	Whether definition B	Process definition C	Politics definition D
13	Idea definition A	Everyone definition B	Especially definition C	Cup definition D
14	Information definition A	Everyone definition B	Course definition C	Long definition D
15	Town definition A	Check definition B	Choice definition C	Sea definition D
16	Ability definition A	Structure definition B	Father definition C	Quickly definition D
17	Majority definition A	Increase definition B	Commercial definition C	Better definition D
18	Republican definition A	Win definition B	Professional definition C	Teacher definition D
19	Drug definition A	Its definition B	Section definition C	Court definition D
20	Environment definition A	Soon definition B	Create definition C	Present definition D
21	Significant definition A	Reality definition B	Prepare definition C	After definition D
22	Nation definition A	Claim definition B	May definition C	Want definition D
23	Evening definition A	Can definition B	Police definition C	We definition D
24	Finish definition A	Daughter definition B	Always definition C	Small definition D
25	They definition A	Remember definition B	Structure definition C	Yard definition D
26	Those definition A	Long definition B	Worker definition C	Environment definition D
27	Debate definition A	Nearly definition B	Recent definition C	Force definition D
28	Tax definition A	Summer definition B	Store definition C	Away definition D
29	Region definition A	Half definition B	Say definition C	Piece definition D
30	Never definition A	Since definition B	Thing definition C	Notice definition D
31	Minute definition A	Fish definition B	Property definition C	Economy definition D
32	Prove definition A	Leader definition B	Together definition C	Pattern definition D
33	Three definition A	Book definition B	Rock definition C	Trip definition D
34	Consider definition A	Lot definition B	Media definition C	Field definition D
35	Else definition A	Vote definition B	To definition C	Back definition D
36	Guy definition A	Station definition B	Manage definition C	Laugh definition D
37	Glass definition A	Program definition B	Time definition C	Occur definition D
38	Sell definition A	Different definition B	Company definition C	Main definition D
39	My definition A	Stage definition B	Picture definition C	Dog definition D
40	Different definition A	Somebody definition B	Act definition C	As definition D
41	Face definition A	Produce definition B	Think definition C	Free definition D
42	Us definition A	Measure definition B	Sing definition C	Low definition D
43	Child definition A	Around definition B	Wish definition C	True definition D
44	Choice definition A	Ever definition B	He definition C	Best definition D
