ID	ExplanationText
1	A is correct: confidentiality ensures only authorized individuals can access sensitive information. B refers to availability. C relates to non-repudiation. D is about integrity.
2	A and C are correct: checksums and HMAC validate data hasnt been altered. B is encryption (confidentiality). D is network filtering (not integrity validation).
3	B is correct: availability ensures reliable access. A is confidentiality. C is non-repudiation. D is integrity.
6	B is correct: non-repudiation ensures parties can't deny participation. A is confidentiality. C is integrity. D is availability.
8	B and C are correct: public key crypto and digital signatures support non-repudiation. A is authentication. D is irrelevant.
9	A is correct: authentication verifies identity. B is authorization. C is accounting. D is availability.
10	A is correct: authorization grants access post-authentication. B is VPN setup. C is integrity. D is a security control.
11	B is correct: accounting logs and monitors access. A is authentication. C is token security. D is authorization.
12	B and D are correct: packet mode proxies user requests. A and C are character/admin mode interactions.
13	C is correct: character mode sends keystrokes to configure devices; packet mode processes network data. A/B/D are incorrect descriptions.
15	C is correct: smart card/USB token is something you have. A/D are knowledge factors. B is biometric.
16	A and C are correct: iris and fingerprint are biometric. B is digital. D is knowledge.
18	A and C are correct: both are knowledge factors. B is biometric. D is a possession factor.
19	B and C are correct: each combines two different types. A is two knowledge factors. D is two biometrics.
20	C is correct: authenticating systems verifies identity before access. Others are unrelated or about different controls.
21	C is correct: endpoint fingerprinting identifies non-traditional devices. Others are made-up or unrelated.
26	B is correct: ABAC uses user/resource/environment attributes. A, C, D follow simpler or fixed models.
27	A and C are correct: IP-based and time-based access are rule-based. B and D are RBAC/ABAC.
28	B is correct: managerial controls include policy documents. Others are technical or physical.
29	A and C are correct: hardening and SIEM are technical. B is administrative. D is physical.
30	B is correct: signs discourage actionsdeterrents. A is integrity. C is availability. D is managerial.
31	B is correct: IDS detects ongoing threats. A/D are access methods. C is a preventative control.
34	C is correct: Gap analysis identifies the difference between the current and desired security posture. A is about enforcing policy, not identifying gaps. B focuses on training rather than posture assessment. D is a form of testing, not a comprehensive comparison of states.
35	A is correct: Residual risk is the remaining risk after safeguards are applied. B refers to risks not yet discovered. C is the risk before applying controls. D relates to the decision-making process around risk, not the risk itself.
36	B is correct: Shared credentials violate the principle of least privilege and indicate a common security gap. A represents good practice. C is a protective control, not a gap. D indicates improved security posture, not a vulnerability.
37	B is correct: Zero Trust focuses on identity and resource-based access control. A reflects outdated perimeter-based thinking. C is static and lacks adaptability. D is a tunneling mechanism, not core to Zero Trust architecture.
38	C is correct: The Policy Engine is responsible for making access decisions based on policies. A relates to monitoring, not decision-making. B is a protective mechanism. D concerns identity storage, not access enforcement.
40	A is correct: PEPs enforce policy rules within Zero Trust architectures. B is about credential management. C monitors traffic but doesnt enforce access. D is a logging mechanism, not an enforcement point.
43	A is correct: Honeytokens are artifacts meant to detect malicious access. B is more about surveillance than deception. C concerns detection, not deception. D relates to standard IT access policy.
46	D is correct: Mantraps allow only one person at a time and require full authentication. A can involve multiple people. B describes another physical barrier. C refers to identification, not restriction.
48	B is correct: Security guards provide prevention, detection, and deterrence. A is specific to logical access. C is a policy control. D represents a digital control.
52	A is correct: Change management controls transitions in technology and process. B is broader than changes alone. C relates to system behavior. D is part of auditing, not change management.
54	D is correct: A backout plan is critical for recovering from failed changes. A applies to configuration, not rollback. B is a documentation tool. C is a general testing method.
55	A is correct: Maintenance windows are pre-approved time slots for changes. B is used to audit changes, not schedule them. C refers to planned outages. D refers to the rollback plan.
58	C is correct: Downtime must be accounted for during technical changes. A and B are access controls. D refers to application-specific behavior.
59	B is correct: Legacy apps must be considered due to dependencies during changes. A refers to active monitoring. C is the reverse process of application startup. D is user-facing behavior, not backend dependency.
65	A is correct: Access control vestibules are hardened entry zones. B is a software setting. C refers to audit strategy. D is software application behavior.
