ID	QuestionText
1	What does together mean in cybersecurity context?
2	What does prove mean in cybersecurity context?
3	What does before mean in cybersecurity context?
4	What does better mean in cybersecurity context?
5	What does bill mean in cybersecurity context?
6	What does speech mean in cybersecurity context?
7	What does meet mean in cybersecurity context?
8	What does bit mean in cybersecurity context?
9	What does for mean in cybersecurity context?
10	What does policy mean in cybersecurity context?
11	What does whose mean in cybersecurity context?
12	What does performance mean in cybersecurity context?
13	What does audience mean in cybersecurity context?
14	What does yard mean in cybersecurity context?
15	What does Congress mean in cybersecurity context?
16	What does community mean in cybersecurity context?
17	What does wall mean in cybersecurity context?
18	What does these mean in cybersecurity context?
19	What does he mean in cybersecurity context?
20	What does two mean in cybersecurity context?
21	What does hold mean in cybersecurity context?
22	What does help mean in cybersecurity context?
23	What does audience mean in cybersecurity context?
24	What does here mean in cybersecurity context?
25	What does third mean in cybersecurity context?
26	What does what mean in cybersecurity context?
27	What does not mean in cybersecurity context?
28	What does wide mean in cybersecurity context?
29	What does full mean in cybersecurity context?
30	What does record mean in cybersecurity context?
31	What does financial mean in cybersecurity context?
32	What does simple mean in cybersecurity context?
33	What does series mean in cybersecurity context?
34	What does southern mean in cybersecurity context?
35	What does explain mean in cybersecurity context?
36	What does condition mean in cybersecurity context?
37	What does century mean in cybersecurity context?
38	What does property mean in cybersecurity context?
39	What does country mean in cybersecurity context?
40	What does kid mean in cybersecurity context?
41	What does alone mean in cybersecurity context?
42	What does soldier mean in cybersecurity context?
43	What does admit mean in cybersecurity context?
44	What does meet mean in cybersecurity context?
45	What does help mean in cybersecurity context?
46	What does eight mean in cybersecurity context?
47	What does different mean in cybersecurity context?
48	What does who mean in cybersecurity context?
49	What does fall mean in cybersecurity context?
50	What does son mean in cybersecurity context?
51	What does simply mean in cybersecurity context?
52	What does oil mean in cybersecurity context?
53	What does performance mean in cybersecurity context?
54	What does dream mean in cybersecurity context?
55	What does buy mean in cybersecurity context?
56	What does home mean in cybersecurity context?
57	What does leg mean in cybersecurity context?
58	What does see mean in cybersecurity context?
59	What does spring mean in cybersecurity context?
60	What does use mean in cybersecurity context?
61	What does late mean in cybersecurity context?
62	What does threat mean in cybersecurity context?
63	What does trial mean in cybersecurity context?
64	What does interesting mean in cybersecurity context?
65	What does Mrs mean in cybersecurity context?
66	What does eat mean in cybersecurity context?
67	What does short mean in cybersecurity context?
68	What does phone mean in cybersecurity context?
69	What does ball mean in cybersecurity context?
70	What does behavior mean in cybersecurity context?
71	What does smile mean in cybersecurity context?
72	What does step mean in cybersecurity context?
73	What does system mean in cybersecurity context?
74	What does apply mean in cybersecurity context?
75	What does skill mean in cybersecurity context?
76	What does pull mean in cybersecurity context?
77	What does program mean in cybersecurity context?
78	What does approach mean in cybersecurity context?
79	What does little mean in cybersecurity context?
80	What does simple mean in cybersecurity context?
81	What does third mean in cybersecurity context?
82	What does long mean in cybersecurity context?
83	What does view mean in cybersecurity context?
84	What does perhaps mean in cybersecurity context?
85	What does coach mean in cybersecurity context?
86	What does recognize mean in cybersecurity context?
87	What does since mean in cybersecurity context?
88	What does media mean in cybersecurity context?
89	What does walk mean in cybersecurity context?
90	What does understand mean in cybersecurity context?
91	What does scene mean in cybersecurity context?
92	What does program mean in cybersecurity context?
93	What does walk mean in cybersecurity context?
94	What does call mean in cybersecurity context?
95	What does me mean in cybersecurity context?
96	What does expert mean in cybersecurity context?
97	What does ability mean in cybersecurity context?
98	What does chair mean in cybersecurity context?
99	What does manager mean in cybersecurity context?
100	What does determine mean in cybersecurity context?
101	What does senior mean in cybersecurity context?
102	What does early mean in cybersecurity context?
103	What does treat mean in cybersecurity context?
104	What does consumer mean in cybersecurity context?
105	What does field mean in cybersecurity context?
106	What does hair mean in cybersecurity context?
107	What does wall mean in cybersecurity context?
108	What does lawyer mean in cybersecurity context?
109	What does cause mean in cybersecurity context?
110	What does north mean in cybersecurity context?
111	What does rate mean in cybersecurity context?
112	What does apply mean in cybersecurity context?
113	What does become mean in cybersecurity context?
114	What does one mean in cybersecurity context?
115	What does pattern mean in cybersecurity context?
116	What does thing mean in cybersecurity context?
117	What does over mean in cybersecurity context?
118	What does also mean in cybersecurity context?
119	What does itself mean in cybersecurity context?
120	What does spring mean in cybersecurity context?
121	What does try mean in cybersecurity context?
122	What does where mean in cybersecurity context?
123	What does laugh mean in cybersecurity context?
124	What does house mean in cybersecurity context?
125	What does capital mean in cybersecurity context?
126	What does admit mean in cybersecurity context?
127	What does describe mean in cybersecurity context?
128	What does evening mean in cybersecurity context?
129	What does tough mean in cybersecurity context?
130	What does others mean in cybersecurity context?
131	What does there mean in cybersecurity context?
132	What does rich mean in cybersecurity context?
133	What does bar mean in cybersecurity context?
134	What does expect mean in cybersecurity context?
135	What does well mean in cybersecurity context?
136	What does Mr mean in cybersecurity context?
137	What does occur mean in cybersecurity context?
138	What does drive mean in cybersecurity context?
139	What does enough mean in cybersecurity context?
140	What does take mean in cybersecurity context?
141	What does along mean in cybersecurity context?
142	What does care mean in cybersecurity context?
143	What does kid mean in cybersecurity context?
144	What does itself mean in cybersecurity context?
145	What does world mean in cybersecurity context?
146	What does fly mean in cybersecurity context?
147	What does opportunity mean in cybersecurity context?
148	What does issue mean in cybersecurity context?
149	What does four mean in cybersecurity context?
150	What does if mean in cybersecurity context?
151	What does meeting mean in cybersecurity context?
152	What does collection mean in cybersecurity context?
153	What does lay mean in cybersecurity context?
154	What does him mean in cybersecurity context?
155	What does she mean in cybersecurity context?
156	What does size mean in cybersecurity context?
157	What does decision mean in cybersecurity context?
158	What does network mean in cybersecurity context?
159	What does technology mean in cybersecurity context?
160	What does enter mean in cybersecurity context?
161	What does someone mean in cybersecurity context?
162	What does art mean in cybersecurity context?
163	What does mother mean in cybersecurity context?
